"","Species","X","Y"
"1","0","0","0"
"3","Chryseobacterium balustinum","669.8795180722892","0.2832757115418195"
"4","Chryseobacterium balustinum","646.987951807229","0.28334206390780525"
"5","Chryseobacterium balustinum","622.8915662650604","0.28515103893836213"
"6","Chryseobacterium balustinum","597.5903614457833","0.2817461148943601"
"7","Chryseobacterium balustinum","574.698795180723","0.2731168150864327"
"8","Chryseobacterium balustinum","550.6024096385541","0.2575344857691636"
"9","Chryseobacterium balustinum","526.5060240963854","0.257604330364938"
"10","Chryseobacterium balustinum","502.40963855421694","0.24550026191723462"
"11","Chryseobacterium balustinum","479.5180722891565","0.24730574471800248"
"12","Chryseobacterium balustinum","454.2168674698795","0.25085734241313096"
"13","Chryseobacterium balustinum","431.3253012048192","0.23527152086607306"
"14","Chryseobacterium balustinum","384.3373493975904","0.21975554391478969"
"15","Chryseobacterium balustinum","406.0240963855422","0.22838833595250585"
"16","Chryseobacterium balustinum","359.03614457831327","0.22156801117513536"
"17","Chryseobacterium balustinum","310.84337349397595","0.19214248297537984"
"18","Chryseobacterium balustinum","334.93975903614466","0.19729002968395315"
"19","Chryseobacterium balustinum","261.4457831325302","0.15924218613584784"
"20","Chryseobacterium balustinum","286.7469879518072","0.1730818927885457"
"21","Chryseobacterium balustinum","215.66265060240968","0.14024445608521052"
"22","Chryseobacterium balustinum","238.55421686746976","0.15235201676270327"
"23","Chryseobacterium balustinum","190.36144578313255","0.11944822769338226"
"24","Chryseobacterium balustinum","166.2650602409639","0.10386589837611315"
"25","Chryseobacterium balustinum","142.16867469879517","0.0848053081892789"
"26","Chryseobacterium balustinum","119.27710843373495","0.0622629649030908"
"27","Chryseobacterium balustinum","95.18072289156626","0.04494150515103901"
"28","Chryseobacterium balustinum","71.0843373493976","0.032837436703335166"
"29","Chryseobacterium balustinum","46.98795180722891","0.018994237820848747"
"30","Chryseobacterium balustinum","22.89156626506022","0.008629299807927482"
"31","Chryseobacterium balustinum","-1.4210854715202004e-14","0.005217391304347951"
"32","Chryseobacterium balustinum","",""
"33","Chryseobacterium balustinum","",""
"34","Enterobacter sp.","669.879518072289","0.5667539724113846"
"41","Enterobacter sp.","645.7831325301203","0.5633455561375937"
"51","Enterobacter sp.","621.6867469879514","0.5564588789942378"
"61","Enterobacter sp.","598.7951807228916","0.5530469704906582"
"71","Enterobacter sp.","550.6024096385543","0.553186659682207"
"81","Enterobacter sp.","574.6987951807229","0.5548559455212152"
"91","Enterobacter sp.","526.5060240963854","0.5532565042779815"
"101","Enterobacter sp.","502.4096385542168","0.5637611314824515"
